"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1804" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 13 0.0704676151511088 0.0704703139498839
"1805" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 14 0.0704676151511088 0.0704656041234625
"1806" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 15 0.0704676151511088 0.0704461221418409
"1807" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 16 0.0704676151511088 0.0704746082621238
"1808" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 17 0.0704676151511088 0.0704687005108647
"1809" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 18 0.0704676151511088 0.0704599592055534
"1810" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 19 0.0704676151511088 0.0704582239576625
"1811" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 20 0.0704676151511088 0.0704632046630558
"1812" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 21 0.0704676151511088 0.0704596790254549
"1813" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 22 0.0704676151511088 0.0704698014855334
"1814" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 23 0.0704676151511088 0.0704734374960911
"1815" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 24 0.0704676151511088 0.0704708254678519
"1816" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 25 0.0704676151511088 0.0704720374535252
"1817" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 26 0.0704676151511088 0.0704730522490449
"1818" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 27 0.0704676151511088 0.0704811924589375
"1819" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 28 0.0704676151511088 0.0704668057543221
"1820" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 29 0.0704676151511088 0.0704722429352388
